URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://example.org/fhir/trust-ai-transparency/ValueSet/data-category-vs,0.1.0,active,,DataCategoryVS,Data Category Value Set,"Categories of electronic health data that may be documented for secondary-use and AI-development contexts.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/gdpr-art6-legal-basis-vs,0.1.0,active,,GDPRArt6LegalBasisVS,GDPR Article 6 Legal Basis Value Set,"Legal bases listed in Article 6(1) GDPR for documenting the asserted lawful basis for processing personal data.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/gdpr-art9-condition-vs,0.1.0,active,,GDPRArt9ConditionVS,GDPR Article 9 Condition Value Set,"Selected Article 9(2) GDPR conditions relevant to processing health data and other special categories of personal data in this implementation guide.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/secondary-use-purpose-vs,0.1.0,active,,SecondaryUsePurposeVS,Secondary-Use Purpose Value Set,"Purpose categories used to document the secondary use of electronic health data under the EHDS.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-audit-entity-role-vs,0.1.0,draft,,TrustAIAuditEntityRoleValueSet,Trust AI Audit Entity Role Value Set,"Roles of entities involved in an AI execution audit event.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-case-specific-indication-vs,0.1.0,active,,TrustAICaseSpecificIndicationVS,Trust AI Case-Specific Indication Value Set,"Clinical purposes for applying an AI system in an individual care context.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-clinical-validation-status-vs,0.1.0,active,,TrustAIClinicalValidationStatusVS,Trust AI Clinical Validation Status Value Set,"Clinical validation statuses applicable to an AI system and its documented intended use.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-data-quality-vs,0.1.0,active,,TrustAIDataQualityVS,Trust AI Data Quality Value Set,"Assessed data-quality characteristics relevant to AI-system development, validation, testing, or evaluation.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-human-oversight-action-vs,0.1.0,active,,TrustAIHumanOversightActionVS,Trust AI Human Oversight Action Value Set,"Human oversight actions that may be documented in relation to an AI-generated output or recommendation.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-involvement-vs,0.1.0,active,,TrustAIInvolvementVS,Trust AI Involvement Value Set,"Codes used to classify how an AI system contributed to the content of a FHIR resource.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/trust-ai-performance-metric-vs,0.1.0,active,,TrustAIPerformanceMetricVS,Trust AI Performance Metric Value Set,"Performance characteristics that may be documented for an AI system.",,"Internal"
http://example.org/fhir/trust-ai-transparency/ValueSet/usage-category-vs,0.1.0,active,,UsageCategoryVS,Usage Category Value Set,"Categories distinguishing primary and secondary use of electronic health data in the EHDS context.",,"Internal"
