URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://ema.europa.eu/fhir/vs/ingredientRole,0.1.0,active,,IngredientRoleVs,The Ingredient Role Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/legalStatusForTheSupply,0.1.0,active,,LegalStatusForTheSupplyVs,The Legal Status of Supply Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/marketingStatus,0.1.0,active,,MarketingStatusVs,The Marketing Status value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/packaging,0.1.0,active,,PackagingVs,The Packaging Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/pharmaceuticalDoseForm,0.1.0,active,,PharmaceuticalDoseFormVs,The Pharmaceutical Dose Form Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/quantityOperator,0.1.0,active,,QuantityOperatorVs,The Quantity Operator Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/regulatoryEntitlementStatus,0.1.0,active,,RegulatoryEntitlementStatusVs,The Regulatory Entitlement Status Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/regulatoryEntitlementType,0.1.0,active,,RegulatoryEntitlementTypeVs,The Regulatory Entitlement Type Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/routesAndMethodsOfAdministration,0.1.0,active,,RoutesAndMethodsOfAdministrationVs,The Target Species Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/unitsOfPresentation,0.1.0,active,,UnitsOfPresentationVs,The Units of Presentation Value Set,"",,"Internal"
https://www.ages.at/fhir/ValueSet/asp-liste-authorizationState,0.1.0,active,,VS_ASP_Liste_AuthorizationState,"ASP-Liste" Authorization State,"",,"Internal"
https://www.ages.at/fhir/domain,0.1.0,active,,DomainVs,The Domain Value Set,"",,"Internal"
https://www.ages.at/fhir/medicinalproduct/ValueSet/medicinalProductNamePartTypeVs,0.1.0,active,,MedicinalProductNamePartTypeVs,Medicinal Product Name Part Type,"",,"Internal"
