URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://ema.europa.eu/fhir/vs/ingredientRole,0.1.0,active,,IngredientRoleVs,The Ingredient Role Value Set,"","StructureDefinition/at-medprod-ingredient","Internal"
https://ema.europa.eu/fhir/vs/legalStatusForTheSupply,0.1.0,active,,LegalStatusForTheSupplyVs,The Legal Status of Supply Value Set,"","StructureDefinition/at-medprod-medicinalProductDefinition","Internal"
https://ema.europa.eu/fhir/vs/marketingStatus,0.1.0,active,,MarketingStatusVs,The Marketing Status value Set,"","StructureDefinition/at-medprod-packagedProductDefinition","Internal"
https://ema.europa.eu/fhir/vs/packaging,0.1.0,active,,PackagingVs,The Packaging Value Set,"","StructureDefinition/at-medprod-packagedProductDefinition","Internal"
https://ema.europa.eu/fhir/vs/pharmaceuticalDoseForm,0.1.0,active,,PharmaceuticalDoseFormVs,The Pharmaceutical Dose Form Value Set,"","StructureDefinition/at-medprod-administrableProductDefinition,StructureDefinition/at-medprod-manufacturedItemDefinition","Internal"
https://ema.europa.eu/fhir/vs/quantityOperator,0.1.0,active,,QuantityOperatorVs,The Quantity Operator Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/regulatoryEntitlementStatus,0.1.0,active,,RegulatoryEntitlementStatusVs,The Regulatory Entitlement Status Value Set,"","StructureDefinition/at-medprod-marketingRegulatedAuthorization","Internal"
https://ema.europa.eu/fhir/vs/regulatoryEntitlementType,0.1.0,active,,RegulatoryEntitlementTypeVs,The Regulatory Entitlement Type Value Set,"",,"Internal"
https://ema.europa.eu/fhir/vs/routesAndMethodsOfAdministration,0.1.0,active,,RoutesAndMethodsOfAdministrationVs,The Target Species Value Set,"","StructureDefinition/at-medprod-administrableProductDefinition","Internal"
https://ema.europa.eu/fhir/vs/unitsOfPresentation,0.1.0,active,,UnitsOfPresentationVs,The Units of Presentation Value Set,"","StructureDefinition/at-medprod-administrableProductDefinition,StructureDefinition/at-medprod-packagedProductDefinition,StructureDefinition/at-medprod-manufacturedItemDefinition","Internal"
https://www.ages.at/fhir/domain,0.1.0,active,,DomainVs,The Domain Value Set,"","StructureDefinition/at-medprod-medicinalProductDefinition","Internal"
https://www.ages.at/fhir/medicinalproduct/ValueSet/medicinalProductNamePartTypeVs,0.1.0,active,,MedicinalProductNamePartTypeVs,Medicinal Product Name Part Type,"","StructureDefinition/at-medprod-medicinalProductDefinition","Internal"
