Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r4.json	11567	-	0	0	0	0	0	0	8	348	0	0	0	0	0	0	0	0	0	0	0	132	166	0	1	0	3	0	2
fsh-generated/resources/Location-HL7ATCoreLocationGraz.json	663	2	0	0	1	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	11	22	0	0	1	0	0	0
fsh-generated/resources/Location-HL7ATCoreLocationLinz.json	561	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2338	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1934	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3618	2	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2516	2	0	0	0	0	0	0	1	183	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1639	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6101	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	27	37	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3640	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4001	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	3823	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	1997	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1610	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	60	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5999	1	0	20	5	0	0	0	0	1339	0	0	1	0	0	0	0	0	0	0	0	104	688	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1640	1	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	64	160	0	0	0	1	0	0
