"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Subject-ips","Subject-ips","","","",0,*,"","","","null {[]} {[]}
","Subject (IPS)","Abbildung der Datenfelder, die für den Entwurf der Datenspezifikation des modularen Rahmenkonzepts für
Österreich für das Disease-Management bei chronischer Herzinsuffizienz erforderlich sind, auf dem des IPS-Modul ""Subject"".

Refer to the **[mapping from the logical model of HI to the logical model based on the International Patient Summary (IPS)](mappings.html)** in order to get an idea how the IPS relates to HI.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Subject-ips.identifier","Subject-ips.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","An identifier for this subject","An identifier for this subject","","","","","","","","","",,,,,"",,,,"Subject-ips.identifier",1,*,"",""
"Subject-ips.name","Subject-ips.name","","","",1,*,"","","","HumanName {[]} {[]}
","A name associated with the subject","A name associated with the subject","","","","","","","","","",,,,,"",,,,"Subject-ips.name",1,*,"",""
"Subject-ips.telecom","Subject-ips.telecom","","","",1,*,"","","","ContactPoint {[]} {[]}
","A contact detail for the subject","A contact detail for the subject","","","","","","","","","",,,,,"",,,,"Subject-ips.telecom",1,*,"",""
"Subject-ips.gender","Subject-ips.gender","","","",1,1,"","","","code {[]} {[]}
","male | female | other | unknown","male | female | other | unknown","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","",,,,"Subject-ips.gender",1,1,"",""
"Subject-ips.genderExtension","Subject-ips.genderExtension","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Extension in case gender = other","Extension in case gender = other","","","","","","","","","",,"required","","https://termgit.elga.gv.at/ValueSet/hl7-at-administrativegender-fhir-extension","",,,,"Subject-ips.genderExtension",0,1,"",""
"Subject-ips.birthDate","Subject-ips.birthDate","","","",1,1,"","","","date {[]} {[]}
","The date of birth for the subject","The date of birth for the subject","","","","","","","","","",,,,,"",,,,"Subject-ips.birthDate",1,1,"",""
"Subject-ips.address","Subject-ips.address","","","",1,*,"","","","Address {[]} {[]}
","An address for the subject","An address for the subject","","","","","","","","","",,,,,"",,,,"Subject-ips.address",1,*,"",""
"Subject-ips.contact","Subject-ips.contact","","","",0,*,"","","","BackboneElement {[]} {[]}
","A contact party (e.g. guardian, partner, friend) for the patient","A contact party (e.g. guardian, partner, friend) for the patient","","","","","","","","","",,,,,"",,,,"Subject-ips.contact",0,*,"",""
"Subject-ips.contactInsurance","Subject-ips.contactInsurance","","","",1,1,"","","","BackboneElement {[]} {[]}
","The insurance company","The insurance company","","","","","","","","","",,,,,"",,,,"Subject-ips.contactInsurance",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
