"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: UDI Mapping"
"Device.displayName","Device.displayName","","","",0,1,"","","","string {[]} {[]}
","The name used to display by default when the device is referenced","The name used to display by default when the device is referenced. Based on intent of use by the resource creator, this may reflect one of the names in Device.name, or may be another simple name.","","","","","","","","","",,,,,"",,,,"Device.displayName",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.definition","Device.definition","","","",0,1,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceDefinition|5.0.0]]}
","The reference to the definition for the device","The reference to the definition for the device.","","","","","","","","","",,,,,"",,,,"Device.definition",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.udiCarrier","Device.udiCarrier","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Unique Device Identifier (UDI) Barcode string","Unique device identifier (UDI) assigned to device label or package.  Note that the Device may include multiple udiCarriers as it either may include just the udiCarrier for the jurisdiction it is sold, or for multiple jurisdictions it could have been sold.","UDI may identify an unique instance of a device, or it may only identify the type of the device.  See [UDI mappings](http://hl7.org/fhir/R5/device-mappings.html#udi) for a complete mapping of UDI parts to Device.","","","","","","","","",,,,,"",,,,"Device.udiCarrier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.udiCarrier.id","Device.udiCarrier.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Device.udiCarrier.extension","Device.udiCarrier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Device.udiCarrier.modifierExtension","Device.udiCarrier.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Device.udiCarrier.deviceIdentifier","Device.udiCarrier.deviceIdentifier","","DI
","",1,1,"","","Y","string {[]} {[]}
","Mandatory fixed portion of UDI","The device identifier (DI) is a mandatory, fixed portion of a UDI that identifies the labeler and the specific version or model of a device.","","","","","","","","","",,,,,"",,,,"Device.udiCarrier.deviceIdentifier",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","The device identifier (DI), a mandatory, fixed portion of a UDI that identifies the labeler and the specific version or model of a device."
"Device.udiCarrier.issuer","Device.udiCarrier.issuer","","Barcode System
","",1,1,"","","Y","uri {[]} {[]}
","UDI Issuing Organization","Organization that is charged with issuing UDIs for devices. For example, the US FDA issuers include: 
1) GS1: http://hl7.org/fhir/NamingSystem/gs1-di, 
2) HIBCC: http://hl7.org/fhir/NamingSystem/hibcc-diI, 
3) ICCBBA for blood containers: http://hl7.org/fhir/NamingSystem/iccbba-blood-di, 
4) ICCBA for other devices: http://hl7.org/fhir/NamingSystem/iccbba-other-di # Informationsstelle für Arzneispezialitäten (IFA GmbH) (EU only): http://hl7.org/fhir/NamingSystem/ifa-gmbh-di.","","","","","","","","","",,,,,"",,,,"Device.udiCarrier.issuer",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","All UDIs are to be issued under a system operated by an Jurisdiction-accredited issuing agency.
GS1 DIs: 
 http://hl7.org/fhir/NamingSystem/gs1
HIBCC DIs:
 http://hl7.org/fhir/NamingSystem/hibcc
ICCBBA DIs for blood containers:
 http://hl7.org/fhir/NamingSystem/iccbba-blood
ICCBA DIs for other devices:
 http://hl7.org/fhir/NamingSystem/iccbba-other"
"Device.udiCarrier.jurisdiction","Device.udiCarrier.jurisdiction","","","",0,1,"","","","uri {[]} {[]}
","Regional UDI authority","The identity of the authoritative source for UDI generation within a jurisdiction. All UDIs are globally unique within a single namespace with the appropriate repository uri as the system. For example, UDIs of devices managed in the U.S. by the FDA, the value is http://hl7.org/fhir/NamingSystem/us-fda-udi or in the European Union by the European Commission http://hl7.org/fhir/NamingSystem/eu-ec-udi.","","Allows a recipient of a UDI to know which database will contain the UDI-associated metadata.","","","","","","","",,,,,"",,,,"Device.udiCarrier.jurisdiction",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.udiCarrier.carrierAIDC","Device.udiCarrier.carrierAIDC","","Automatic Identification and Data Capture
","",0,1,"","","Y","base64Binary {[]} {[]}
","UDI Machine Readable Barcode String","The full UDI carrier of the Automatic Identification and Data Capture (AIDC) technology representation of the barcode string as printed on the packaging of the device - e.g., a barcode or RFID.   Because of limitations on character sets in XML and the need to round-trip JSON data through XML, AIDC Formats *SHALL* be base64 encoded.","The AIDC form of UDIs should be scanned or otherwise used for the identification of the device whenever possible to minimize errors in records resulting from manual transcriptions. If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.","","","","","","","","",,,,,"",,,,"Device.udiCarrier.carrierAIDC",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","A unique device identifier (UDI) on a device label a form that uses automatic identification and data capture (AIDC) technology."
"Device.udiCarrier.carrierHRF","Device.udiCarrier.carrierHRF","","Human Readable Form
","",0,1,"","","Y","string {[]} {[]}
","UDI Human Readable Barcode String","The full UDI carrier as the human readable form (HRF) representation of the barcode string as printed on the packaging of the device.","If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.","","","","","","","","",,,,,"",,,,"Device.udiCarrier.carrierHRF",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","A unique device identifier (UDI) on a device label in plain text"
"Device.udiCarrier.entryType","Device.udiCarrier.entryType","","","",0,1,"","","","code {[]} {[]}
","barcode | rfid | manual | card | self-reported | electronic-transmission | unknown","A coded entry to indicate how the data was entered.","","Supports a way to distinguish hand entered from machine read data.","","","","","","","",,"required","Codes to identify how UDI data was entered.","http://hl7.org/fhir/ValueSet/udi-entry-type|5.0.0","",,,,"Device.udiCarrier.entryType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.status","Device.status","","","",1,1,"","Y","Y","code {[]} {[]}
","active | inactive | entered-in-error","The Device record status. This is not the status of the device like availability.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""active""/>","","","",,"required","The record status of the device.","http://hl7.org/fhir/ValueSet/device-status|5.0.0","",,,,"Device.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.availabilityStatus","Device.availabilityStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","lost | damaged | destroyed | available","The availability of the device.","","","","","","","","","",,"extensible","The availability status reason of the device.","http://hl7.org/fhir/ValueSet/device-availability-status|5.0.0","",,,,"Device.availabilityStatus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.biologicalSourceEvent","Device.biologicalSourceEvent","","Distinct Identification Code (DIC)
","",0,1,"","","","Identifier {[]} {[]}
","An identifier that supports traceability to the event during which material in this product from one or more biological entities was obtained or pooled","An identifier that supports traceability to the event during which material in this product from one or more biological entities was obtained or pooled.","Necessary to support mandatory requirements for traceability from donor/source to recipient and vice versa, while also satisfying donor anonymity requirements. The element is defined consistently across BiologicallyDerivedProduct, NutritionProduct, and Device.  The identifier references an event that links to a single biological entity such as a blood donor, or to multiple biological entities (e.g. when the product is an embryo or a pooled platelet product).  A single biologicalSourceEvent identifier may appear on multiple products of many types derived from a single donation event or source extraction.  As an example, a single donation event may provide 2 kidneys and a liver for organ transplantation, 2 corneas for eye surgery, heart valves and arterial tissue for cardiovascular surgery, multiple skin grafts, tendons, multiple shaped bone grafts and a large number of bone putty/paste products; and each of them may be assigned to the same biological source event identifier.","","","","","","","","",,,,,"",,,,"Device.biologicalSourceEvent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.manufacturer","Device.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Name of device manufacturer","A name of the manufacturer or entity legally responsible for the device.","","","","","","","","","",,,,,"",,,,"Device.manufacturer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Device.manufactureDate","Device.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date when the device was made","The date and time when the device was manufactured.","","","","","","","","","",,,,,"",,,,"Device.manufactureDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","The date a specific device was manufactured - which is a component of the production identifier (PI), a conditional, variable portion of a UDI.  For FHIR, The datetime syntax must converted to YYYY-MM-DD[THH:MM:SS].  If hour is present, the minutes and seconds should both be set to “00”."
"Device.expirationDate","Device.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of expiry of this device (if applicable)","The date and time beyond which this device is no longer valid or should not be used (if applicable).","","","","","","","","","",,,,,"",,,,"Device.expirationDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","the expiration date of a specific device -  which is a component of the production identifier (PI), a conditional, variable portion of a UDI.  For FHIR, The datetime syntax must converted to YYYY-MM-DD[THH:MM:SS].  If hour is present, the minutes and seconds should both be set to “00”."
"Device.lotNumber","Device.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Lot number of manufacture","Lot number assigned by the manufacturer.","","","","","","","","","",,,,,"",,,,"Device.lotNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","The lot or batch number within which a device was manufactured - which is a component of the production identifier (PI), a conditional, variable portion of a UDI."
"Device.serialNumber","Device.serialNumber","","","",0,1,"","","","string {[]} {[]}
","Serial number assigned by the manufacturer","The serial number assigned by the organization when the device was manufactured.","Alphanumeric Maximum 20. While a serial number is a type of identifier, in the context of devices for which a UDI is required, thus a serial number may be part of the production identifier, it is more informative to have the serial number as a dedicated attribute together with the other UDI production identifier.  When the device is not subject to including the UDI (e.g., its presence and exchange is not mandated by local regulatory requirements or specific use case at hand), thus the concept of production identifiers is not relevant as a set, it remains helpful for consistency to still use Device.serialNumber rather than using Device.identifier with an appropriate type.  Systems that do not realize an identifier is a serial number may place it in Device.identifier or if the identifier.system is known for the serial number, it may also be populated in the Device.identifier as a globally unique id_.","","","","","","","","",,,,,"",,,,"Device.serialNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.name","Device.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","The name or names of the device as known to the manufacturer and/or patient","This represents the manufacturer's name of the device as provided by the device, from a UDI label, or by a person describing the Device.  This typically would be used when a person provides the name(s) or when the device represents one of the names available from DeviceDefinition.","","","","","","","","","",,,,,"",,,,"Device.name",0,*,"dev-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.name.id","Device.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Device.name.extension","Device.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Device.name.modifierExtension","Device.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Device.name.value","Device.name.value","","Σ
","",1,1,"","","Y","string {[]} {[]}
","The term that names the device","The actual name that identifies the device.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""XDok""/>","","","",,,,,"",,,,"Device.name.value",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.name.type","Device.name.type","","","",1,1,"","","Y","code {[]} {[]}
","registered-name | user-friendly-name | patient-reported-name","Indicates the kind of name. RegisteredName | UserFriendlyName | PatientReportedName.","","","","","","","","","",,"required","The type of name the device is referred by.","http://hl7.org/fhir/ValueSet/device-nametype|5.0.0","",,,,"Device.name.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.name.display","Device.name.display","","","",0,1,"","Y","Y","boolean {[]} {[]}
","The preferred device name","Indicates the default or preferred name to be displayed.","","","","","","","","","",,,,,"",,,,"Device.name.display",0,1,"dev-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.modelNumber","Device.modelNumber","","","",0,1,"","","","string {[]} {[]}
","The manufacturer's model number for the device","The manufacturer's model number for the device.","","","","","","","","","",,,,,"",,,,"Device.modelNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.partNumber","Device.partNumber","","","",0,1,"","","","string {[]} {[]}
","The part number or catalog number of the device","The part number or catalog number of the device.","Alphanumeric Maximum 20.","","","","","","","","",,,,,"",,,,"Device.partNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.category","Device.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Indicates a high-level grouping of the device","Devices may be associated with one or more categories.","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://hl7.org/fhir/device-category""/>
    <code value=""software""/>
  </coding>
</valueCodeableConcept>","","","",,"example","Categories of medical devices.","http://hl7.org/fhir/ValueSet/device-category|5.0.0","",,,,"Device.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.type","Device.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The kind or type of device","The kind or type of device. A device instance may have more than one type - in which case those are the types that apply to the specific instance of the device.","Multiple device types are use when a device is categorized in more than one context – for example, hybrid devices in which the device is both of type gateway and sensor.","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""https://elga.moped.at/CodeSystem/MopedDeviceTypesCS""/>
    <code value=""XDok""/>
  </coding>
</valueCodeableConcept>","","","",,"required","","https://elga.moped.at/ValueSet/MopedDeviceTypesVS","",,,,"Device.type",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.version","Device.version","","","",1,*,"","","","BackboneElement {[]} {[]}
","The actual design of the device or software version running on the device","The actual design of the device or software version running on the device.","","","","","","","","","",,,,,"",,,,"Device.version",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Device.version.id","Device.version.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Device.version.extension","Device.version.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
