"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PaymentReconciliation.identifier","PaymentReconciliation.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business Identifier for a payment reconciliation","A unique identifier assigned to this payment reconciliation.","","Allows payment reconciliations to be distinguished and referenced.","","","","","","","",,,,,"",,,,"PaymentReconciliation.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.type","PaymentReconciliation.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Category of payment","Code to indicate the nature of the payment such as payment, adjustment.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/payment-type|5.0.0","",,,,"PaymentReconciliation.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.status","PaymentReconciliation.status","","","",1,1,"","Y","Y","code {[]} {[]}
","active | cancelled | draft | entered-in-error","The status of the resource instance.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","Need to track the status of the resource as 'draft' resources may undergo further edits while 'active' resources are immutable and may only have their status changed to 'cancelled'.","","","","","","","",,"required","A code specifying the state of the resource instance.","http://hl7.org/fhir/ValueSet/fm-status|5.0.0","",,,,"PaymentReconciliation.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.kind","PaymentReconciliation.kind","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Workflow originating payment","The workflow or activity which gave rise to or during which the payment ocurred such as a kiosk, deposit on account, periodic payment etc.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/payment-kind|5.0.0","",,,,"PaymentReconciliation.kind",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.period","PaymentReconciliation.period","","","",0,1,"","","Y","Period {[]} {[]}
","Period covered","The period of time for which payments have been gathered into this bulk payment for settlement.","","Needed to allow receivers to monitor and reconcile payment issuer schedules.","","","","","","","",,,,,"",,,,"PaymentReconciliation.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.created","PaymentReconciliation.created","","","",1,1,"","","Y","dateTime {[]} {[]}
","Creation date","The date when the resource was created.","","Need to record a timestamp for use by both the recipient and the issuer.","","","","","","","",,,,,"",,,,"PaymentReconciliation.created",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.enterer","PaymentReconciliation.enterer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Who entered the payment","Payment enterer if not the actual payment issuer.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.enterer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.issuerType","PaymentReconciliation.issuerType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Nature of the source","The type of the source such as patient or insurance.","","Providers may need to identify the source to know to which sub-ledger to apply the payment.","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/payment-issuertype|5.0.0","",,,,"PaymentReconciliation.issuerType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.paymentIssuer","PaymentReconciliation.paymentIssuer","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|5.0.0]]}
","Party generating payment","The party who generated the payment.","This party is also responsible for the reconciliation.","Need to identify the party resonsible for the payment and this resource.","","","","","","","",,,,,"",,,,"PaymentReconciliation.paymentIssuer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.request","PaymentReconciliation.request","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Task|5.0.0]]}
","Reference to requesting resource","Original request resource reference.","","Needed to allow the response to be linked to the request.","","","","","","","",,,,,"",,,,"PaymentReconciliation.request",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.requestor","PaymentReconciliation.requestor","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Responsible practitioner","The practitioner who is responsible for the services rendered to the patient.","","Need to identify the party responsible for the request.","","","","","","","",,,,,"",,,,"PaymentReconciliation.requestor",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.outcome","PaymentReconciliation.outcome","","","",0,1,"","","","code {[]} {[]}
","queued | complete | error | partial","The outcome of a request for a reconciliation.","The resource may be used to indicate that: the request has been held (queued) for processing; that it has been processed and errors found (error); that no errors were found and that some of the adjudication has been undertaken (partial) or that all of the adjudication has been undertaken (complete).","To advise the requestor of an overall processing outcome.","","","","","","","",,"required","The outcome of the processing.","http://hl7.org/fhir/ValueSet/payment-outcome|5.0.0","",,,,"PaymentReconciliation.outcome",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.disposition","PaymentReconciliation.disposition","","","",0,1,"","","","string {[]} {[]}
","Disposition message","A human readable description of the status of the request for the reconciliation.","","Provided for user display.","","","","","","","",,,,,"",,,,"PaymentReconciliation.disposition",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.date","PaymentReconciliation.date","","","",1,1,"","","Y","date {[]} {[]}
","When payment issued","The date of payment as indicated on the financial instrument.","","To advise the payee when payment can be expected.","","","","","","","",,,,,"",,,,"PaymentReconciliation.date",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.location","PaymentReconciliation.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|5.0.0]]}
","Where payment collected","The location of the site or device for electronic transfers or physical location for cash payments.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.method","PaymentReconciliation.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Payment instrument","The means of payment such as check, card cash, or electronic funds transfer.","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v2-0570","",,,,"PaymentReconciliation.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.cardBrand","PaymentReconciliation.cardBrand","","","",0,1,"","","","string {[]} {[]}
","Type of card","The card brand such as debit, Visa, Amex etc. used if a card is the method of payment.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.cardBrand",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.accountNumber","PaymentReconciliation.accountNumber","","","",0,1,"","","","string {[]} {[]}
","Digits for verification","A portion of the account number, often the last 4 digits, used for verification not charging purposes.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.accountNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.expirationDate","PaymentReconciliation.expirationDate","","","",0,1,"","","","date {[]} {[]}
","Expiration year-month","The year and month (YYYY-MM) when the instrument, typically card, expires.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.expirationDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.processor","PaymentReconciliation.processor","","","",0,1,"","","","string {[]} {[]}
","Processor name","The name of the card processor, etf processor, bank for checks.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.processor",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.referenceNumber","PaymentReconciliation.referenceNumber","","","",0,1,"","","","string {[]} {[]}
","Zahlungsidentifikation","The check number, eft reference, car processor reference.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.referenceNumber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.authorization","PaymentReconciliation.authorization","","","",0,1,"","","","string {[]} {[]}
","Authorization number","An alphanumeric issued by the processor to confirm the successful issuance of payment.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.authorization",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.tenderedAmount","PaymentReconciliation.tenderedAmount","","","",0,1,"","","","Money {[]} {[]}
","Amount offered by the issuer","The amount offered by the issuer, typically applies to cash when the issuer provides an amount in bank note denominations equal to or excess of the amount actually being paid.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.tenderedAmount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.returnedAmount","PaymentReconciliation.returnedAmount","","","",0,1,"","","","Money {[]} {[]}
","Amount returned by the receiver","The amount returned by the receiver which is excess to the amount payable, often referred to as 'change'.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.returnedAmount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.amount","PaymentReconciliation.amount","","","",1,1,"","","Y","Money {[]} {[]}
","Total amount of Payment","Total payment amount as indicated on the financial instrument.","","Needed to provide the actual payment amount.","","","","","","","",,,,,"",,,,"PaymentReconciliation.amount",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.amount.id","PaymentReconciliation.amount.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"PaymentReconciliation.amount.extension","PaymentReconciliation.amount.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PaymentReconciliation.amount.value","PaymentReconciliation.amount.value","","","",0,1,"","","Y","decimal {[]} {[]}
","Numerical value (with implicit precision)","Numerical value (with implicit precision).","Monetary values have their own rules for handling precision (refer to standard accounting text books).","The amount of the currency. The value includes an implicit precision in the presentation of the value.","","","","","","","",,,,,"",,,,"Money.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.amount.currency","PaymentReconciliation.amount.currency","","","",0,1,"","","Y","code {[]} {[]}
","ISO 4217 Currency Code","ISO 4217 Currency Code.","","A code indicating the currency, taken from ISO 4217.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""EUR""/>","","","",,"required","A code indicating the currency, taken from ISO 4217.","http://hl7.org/fhir/ValueSet/currencies|5.0.0","",,,,"Money.currency",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.paymentIdentifier","PaymentReconciliation.paymentIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Business identifier for the payment","Issuer's unique identifier for the payment instrument.","For example: EFT number or check number.","Enable the receiver to reconcile when payment is received.","","","","","","","",,,,,"",,,,"PaymentReconciliation.paymentIdentifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation","PaymentReconciliation.allocation","","","",1,*,"","","","BackboneElement {[]} {[]}
","Settlement particulars","Distribution of the payment amount for a previously acknowledged payable.","","Needed to show how the payment amount is distributed across the payables.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.id","PaymentReconciliation.allocation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"PaymentReconciliation.allocation.extension","PaymentReconciliation.allocation.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PaymentReconciliation.allocation.extension:KeineZahlungGrund","PaymentReconciliation.allocation.extension","KeineZahlungGrund","","",0,1,"","","","Extension {[CanonicalType[https://elga.moped.at/StructureDefinition/moped-ext-ReasonForNonPayment]]} {[]}
","KaOrg: Grund, warum keine Zahlung erfolgte","Grund warum keine Zahlung erfolgte","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PaymentReconciliation.allocation.extension:Zahlungskennzeichen","PaymentReconciliation.allocation.extension","Zahlungskennzeichen","","",1,1,"","","","Extension {[CanonicalType[https://elga.moped.at/StructureDefinition/moped-ext-Zahlungskennzeichen]]} {[]}
","KaOrg: Zahlungskennzeichen Regress","MOPED Extension für die Kostenmeldung. Konstenmeldung für A = Ausländerverrechnung, R = Regressangelegenheiten oder K = Kosteninformation","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PaymentReconciliation.allocation.modifierExtension","PaymentReconciliation.allocation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PaymentReconciliation.allocation.identifier","PaymentReconciliation.allocation.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Business identifier of the payment detail","Unique identifier for the current payment item for the referenced payable.","","Needed for reconciliation of payments.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.predecessor","PaymentReconciliation.allocation.predecessor","","","",0,1,"","","","Identifier {[]} {[]}
","Business identifier of the prior payment detail","Unique identifier for the prior payment item for the referenced payable.","","Needed for reconciliation of payments.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.predecessor",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.target","PaymentReconciliation.allocation.target","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://elga.moped.at/StructureDefinition/MopedARKRequest]]}
","Subject of the payment","Specific resource to which the payment/adjustment/advance applies.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.target",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.targetItem[x]","PaymentReconciliation.allocation.targetItem[x]","","","",0,1,"","","","string {[]} {[]}
Identifier {[]} {[]}positiveInt {[]} {[]}","Sub-element of the subject"," Identifies the claim line item, encounter or other sub-element being paid. Note payment may be partial, that is not match the then outstanding balance or amount incurred.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.targetItem[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.encounter","PaymentReconciliation.allocation.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter|5.0.0]]}
","Applied-to encounter","The Encounter to which this payment applies, may be completed by the receiver, used for search.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.account","PaymentReconciliation.allocation.account","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Account|5.0.0]]}
","Applied-to account","The Account to which this payment applies, may be completed by the receiver, used for search.","","","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.account",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.type","PaymentReconciliation.allocation.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Category of payment","Code to indicate the nature of the payment.","For example: payment, adjustment, funds advance, etc.","Needed to provide context for the amount.","","","","","","","",,"required","","https://elga.moped.at/ValueSet/MopedPaymentTypesVS","",,,,"PaymentReconciliation.allocation.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.submitter","PaymentReconciliation.allocation.submitter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Submitter of the request","The party which submitted the claim or financial transaction.","","Needed for audit and validation.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.submitter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.response","PaymentReconciliation.allocation.response","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClaimResponse|5.0.0]]}
","Response committing to a payment","A resource, such as a ClaimResponse, which contains a commitment to payment.","","Needed to provide a linkage to the payment commitment.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.response",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PaymentReconciliation.allocation.date","PaymentReconciliation.allocation.date","","","",0,1,"","","","date {[]} {[]}
","Date of commitment to pay","The date from the response resource containing a commitment to pay.","","Needed for audit and validation.","","","","","","","",,,,,"",,,,"PaymentReconciliation.allocation.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
